title,href,desc,location,price
合租·育新花园2居室-南卧,//www.ziroom.com/x/807267477.html,11.7㎡ | 2/6层,小区距育新站步行约174米,3630
合租·新康园3居室-南卧,//www.ziroom.com/x/807309197.html,10.3㎡ | 3/5层,小区距育新站步行约871米,3230
合租·育新花园3居室-南卧,//www.ziroom.com/x/795792350.html,9.64㎡ | 3/6层,小区距育新站步行约174米,3330
合租·育新花园3居室-南卧,//www.ziroom.com/x/807228921.html,11.71㎡ | 4/6层,小区距育新站步行约174米,3490
合租·矩阵一期3居室-南卧,//www.ziroom.com/x/807334684.html,10.8㎡ | 2/6层,小区距回龙观东大街站步行约656米,3830
合租·奥北南区3居室-南卧,//www.ziroom.com/x/764788434.html,10.5㎡ | 3/23层,小区距立水桥站步行约213米,3160
合租·华龙苑南里2居室-南卧,//www.ziroom.com/x/772624579.html,11㎡ | 6/6层,小区距霍营站步行约785米,2990
合租·奥北南区3居室-南卧,//www.ziroom.com/x/762484296.html,10.6㎡ | 6/27层,小区距立水桥站步行约213米,3190
合租·建材城西一里2居室-南卧,//www.ziroom.com/x/807309526.html,12.4㎡ | 3/5层,小区距育新站步行约565米,3360
合租·中关村4居室-南卧,//www.ziroom.com/x/807277795.html,10.1㎡ | 5/8层,小区距知春里站步行约804米,4360
合租·华龙苑南里3居室-南卧,//www.ziroom.com/x/715529215.html,10.8㎡ | 6/6层,小区距霍营站步行约785米,2960
合租·旭辉奥都3居室-南卧,//www.ziroom.com/x/578435701.html,10.5㎡ | 4/27层,小区距立水桥南站步行约608米,2990
合租·育新花园3居室-南卧,//www.ziroom.com/x/791408629.html,12㎡ | 7/18层,小区距育新站步行约174米,3190
合租·矩阵二期3居室-南卧,//www.ziroom.com/x/730432586.html,11㎡ | 4/6层,小区距回龙观东大街站步行约813米,2860
合租·育新花园3居室-南卧,//www.ziroom.com/x/640385479.html,11.6㎡ | 6/22层,小区距育新站步行约174米,2990
合租·天通苑中苑2居室-南卧,//www.ziroom.com/x/807107751.html,14.3㎡ | 5/6层,小区距天通苑南站步行约1117米,3430
合租·新街口西里三区3居室-南卧,//www.ziroom.com/x/722590912.html,10.5㎡ | 4/6层,小区距新街口站步行约303米,3890
合租·奥北南区3居室-南卧,//www.ziroom.com/x/789282486.html,11.4㎡ | 6/27层,小区距立水桥站步行约213米,3290
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/740301948.html,12.1㎡ | 5/28层,小区距霍营站步行约370米,3030
合租·旗胜家园2居室-南卧,//www.ziroom.com/x/765505361.html,9.83㎡ | 17/21层,小区距霍营站步行约370米,3090
合租·砖角楼南里2居室-南卧,//www.ziroom.com/x/638850099.html,11.3㎡ | 13/16层,小区距柳芳站步行约551米,3390
合租·龙跃苑一区5居室-南卧,//www.ziroom.com/x/792770703.html,11.38㎡ | 5/5层,小区距霍营站步行约1170米,3090
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/718966119.html,12.7㎡ | 8/21层,小区距霍营站步行约370米,3290
合租·新街口西里三区3居室-南卧,//www.ziroom.com/x/788816789.html,9㎡ | 6/6层,小区距新街口站步行约303米,3530
合租·新街口西里三区4居室-南卧,//www.ziroom.com/x/619936012.html,10.7㎡ | 2/7层,小区距新街口站步行约303米,3860
合租·丽水园3居室-南卧,//www.ziroom.com/x/711876486.html,9.4㎡ | 3/6层,小区距天通苑南站步行约492米,2890
合租·新街口西里三区3居室-南卧,//www.ziroom.com/x/741564306.html,10.3㎡ | 5/6层,小区距新街口站步行约303米,3990
合租·北新家园2居室-南卧,//www.ziroom.com/x/766829702.html,9.33㎡ | 6/6层,小区距育新站步行约447米,3390
合租·光熙家园一期3居室-南卧,//www.ziroom.com/x/740098733.html,11.8㎡ | 2/22层,小区距光熙门站步行约234米,3790
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/772803641.html,12.6㎡ | 12/28层,小区距霍营站步行约370米,3390
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/771700848.html,12.65㎡ | 11/28层,小区距霍营站步行约370米,3390
合租·龙泽苑西区3居室-南卧,//www.ziroom.com/x/772458321.html,11.9㎡ | 5/7层,小区距龙泽站步行约803米,3290
合租·首开国风美唐三期2居室-南卧,//www.ziroom.com/x/711886671.html,10.87㎡ | 13/21层,小区距霍营站步行约578米,3590
合租·北礼士路3居室-南卧,//www.ziroom.com/x/724513355.html,9.8㎡ | 4/16层,小区距车公庄站步行约76米,3690
合租·芍药居2号院3居室-南卧,//www.ziroom.com/x/710476776.html,11㎡ | 5/6层,小区距芍药居站步行约215米,3890
合租·矩阵一期3居室-南卧,//www.ziroom.com/x/807334691.html,8.13㎡ | 2/6层,小区距回龙观东大街站步行约656米,2990
整租·北新家园2室1厅-南,//www.ziroom.com/x/807285187.html,55㎡ | 5/5层,小区距育新站步行约447米,6590
合租·新街口西里三区3居室-南卧,//www.ziroom.com/x/765631849.html,10.2㎡ | 5/6层,小区距新街口站步行约303米,3890
合租·静安东里2居室-南卧,//www.ziroom.com/x/807152488.html,9.85㎡ | 6/6层,小区距三元桥站步行约726米,3830
合租·中国铁建国际城4居室-南卧,//www.ziroom.com/x/807203805.html,10.2㎡ | 31层,小区距北苑站步行约788米,3160
合租·育新花园2居室-南卧,//www.ziroom.com/x/755380404.html,8.9㎡ | 5/6层,小区距育新站步行约174米,3490
合租·上地东里3居室-南卧,//www.ziroom.com/x/743011449.html,10.1㎡ | 4/6层,小区距上地站步行约746米,3490
合租·新康园5居室-南卧,//www.ziroom.com/x/730114620.html,11.4㎡ | 4/4层,小区距育新站步行约871米,2860
合租·北礼士路3居室-南卧,//www.ziroom.com/x/731185694.html,11.2㎡ | 9/12层,小区距车公庄站步行约76米,3790
合租·蓝天园3居室-南卧,//www.ziroom.com/x/761967674.html,12.4㎡ | 2/6层,小区距霍营站步行约985米,2990
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/716820867.html,12.7㎡ | 8/28层,小区距霍营站步行约370米,2990
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/733533288.html,14.4㎡ | 3/21层,小区距霍营站步行约370米,3290
合租·天通苑本五区5居室-南卧,//www.ziroom.com/x/775223888.html,11.1㎡ | 6/7层,小区距天通苑南站步行约320米,2890
合租·龙跃苑一区3居室-南卧,//www.ziroom.com/x/807330050.html,12.94㎡ | 5/6层,小区距霍营站步行约1170米,3160
合租·黄金苑3居室-西卧,//www.ziroom.com/x/759626967.html,10.68㎡ | 6/6层,小区距立水桥南站步行约168米,3090
合租·龙泽苑东区3居室-南卧,//www.ziroom.com/x/515685182.html,10㎡ | 2/7层,小区距龙泽站步行约836米,2960
合租·顶秀青溪4居室-南卧,//www.ziroom.com/x/754913737.html,11.9㎡ | 10/11层,小区距立水桥站步行约965米,2960
合租·首开国风美唐三期3居室-南卧,//www.ziroom.com/x/711709743.html,11.46㎡ | 18/21层,小区距霍营站步行约578米,3430
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/769317461.html,12.16㎡ | 23/28层,小区距霍营站步行约370米,3160
合租·花家地西里二区3居室-南卧,//www.ziroom.com/x/746817147.html,10㎡ | 5/6层,小区距阜通站步行约979米,3430
合租·芍药居2号院3居室-南卧,//www.ziroom.com/x/807181797.html,9.7㎡ | 6/6层,小区距芍药居站步行约215米,3730
合租·黄金苑3居室-南卧,//www.ziroom.com/x/807273343.html,10.73㎡ | 6/6层,小区距立水桥南站步行约168米,4490
合租·旗胜家园3居室-南卧,//www.ziroom.com/x/715791406.html,10㎡ | 14/28层,小区距霍营站步行约370米,2830
合租·云趣园一区4居室-南卧,//www.ziroom.com/x/794439394.html,11.1㎡ | 6/7层,小区距育知路站步行约437米,2830
